trial_number,params,mean_auc,fold_aucs
0,"{'learning_rate': 0.043472033707784276, 'n_estimators': 342, 'max_depth': 2, 'num_leaves': 30, 'min_child_samples': 21, 'subsample': 0.8338725659788224, 'colsample_bytree': 0.946362950247773, 'reg_lambda': 0.2825267306624053, 'reg_alpha': 0.1646221584598235, 'scale_pos_weight': 4.2930825507171795}",0.9555950747953904,"[0.9564101191683995, 0.9550651551822669, 0.9565634006628705, 0.9552936704100443, 0.9546430285533711]"
1,"{'learning_rate': 0.022105919874338166, 'n_estimators': 771, 'max_depth': 10, 'num_leaves': 26, 'min_child_samples': 35, 'subsample': 0.9379912363749857, 'colsample_bytree': 0.9821781428201308, 'reg_lambda': 0.6611153431536717, 'reg_alpha': 0.7595413933072568, 'scale_pos_weight': 4.29207814825128}",0.993048013248831,"[0.9931250665287762, 0.9927920538670809, 0.9933649871965131, 0.9930098845574643, 0.9929480740943206]"
2,"{'learning_rate': 0.05354105909723267, 'n_estimators': 507, 'max_depth': 9, 'num_leaves': 42, 'min_child_samples': 39, 'subsample': 0.8070126247592369, 'colsample_bytree': 0.9260406717093176, 'reg_lambda': 0.311390938487294, 'reg_alpha': 0.6918683492717447, 'scale_pos_weight': 4.392271415703609}",0.9965945953123665,"[0.9966334046861889, 0.9964650609168141, 0.9966973806241343, 0.9966217328845491, 0.9965553974501457]"
3,"{'learning_rate': 0.09215663477296493, 'n_estimators': 121, 'max_depth': 2, 'num_leaves': 48, 'min_child_samples': 42, 'subsample': 0.9492296457960469, 'colsample_bytree': 0.978919017917736, 'reg_lambda': 1.6235818759524387, 'reg_alpha': 0.7225464479727625, 'scale_pos_weight': 1.301283328875603}",0.950700396310092,"[0.9516486564754134, 0.9499101829496632, 0.9511478733023107, 0.9499462906840463, 0.9508489781390259]"
4,"{'learning_rate': 0.07279186417960413, 'n_estimators': 144, 'max_depth': 6, 'num_leaves': 49, 'min_child_samples': 28, 'subsample': 0.9610919494045849, 'colsample_bytree': 0.7536011080366545, 'reg_lambda': 4.141304288532931, 'reg_alpha': 0.7288566962673316, 'scale_pos_weight': 2.0948291757961464}",0.9889214572862823,"[0.9891407986254241, 0.9881425852850346, 0.9895679732383262, 0.9887538404164182, 0.9890020888662074]"
5,"{'learning_rate': 0.029032672862733935, 'n_estimators': 927, 'max_depth': 4, 'num_leaves': 27, 'min_child_samples': 48, 'subsample': 0.7655874633646764, 'colsample_bytree': 0.947321845486275, 'reg_lambda': 0.306287829852312, 'reg_alpha': 0.8036580309058273, 'scale_pos_weight': 3.1282055907273114}",0.9889663486679664,"[0.9892645938397902, 0.98877288885491, 0.9890732502294673, 0.988980981857819, 0.9887400285578456]"
6,"{'learning_rate': 0.08813566472825884, 'n_estimators': 569, 'max_depth': 6, 'num_leaves': 49, 'min_child_samples': 43, 'subsample': 0.9396134079345548, 'colsample_bytree': 0.8350603359980298, 'reg_lambda': 0.6294230846170303, 'reg_alpha': 0.9257027298913199, 'scale_pos_weight': 4.962377930887303}",0.997334212109731,"[0.9974401488431716, 0.9972448772249949, 0.9973155703606809, 0.9973557387725653, 0.9973147253472433]"
7,"{'learning_rate': 0.0194934172747067, 'n_estimators': 845, 'max_depth': 8, 'num_leaves': 21, 'min_child_samples': 38, 'subsample': 0.9605680601201325, 'colsample_bytree': 0.965310003903606, 'reg_lambda': 0.37099111069192897, 'reg_alpha': 0.14687222693929525, 'scale_pos_weight': 2.5043882615072843}",0.990882666484185,"[0.990999462010749, 0.9906544695686009, 0.9909185470576436, 0.9909443040336633, 0.9908965497502679]"
8,"{'learning_rate': 0.08450258710893671, 'n_estimators': 130, 'max_depth': 10, 'num_leaves': 45, 'min_child_samples': 29, 'subsample': 0.7803025485570484, 'colsample_bytree': 0.8040542259251171, 'reg_lambda': 2.9039343721021744, 'reg_alpha': 0.1341996882410798, 'scale_pos_weight': 2.046981227278542}",0.9928013523746066,"[0.9929717075735139, 0.9923069615559856, 0.9930545187523543, 0.9928621549810059, 0.992811419010174]"
9,"{'learning_rate': 0.01395172272917115, 'n_estimators': 848, 'max_depth': 1, 'num_leaves': 43, 'min_child_samples': 45, 'subsample': 0.9015133269433196, 'colsample_bytree': 0.7017083279890636, 'reg_lambda': 0.3723036831803488, 'reg_alpha': 0.8605965444762181, 'scale_pos_weight': 1.8071696058342055}",0.9164033439203594,"[0.9171551056287464, 0.9161534276620217, 0.9173067843223275, 0.9161361810288905, 0.9152652209598113]"
10,"{'learning_rate': 0.010316635829105981, 'n_estimators': 618, 'max_depth': -1, 'num_leaves': 37, 'min_child_samples': 49, 'subsample': 0.8837832398880329, 'colsample_bytree': 0.865099145949124, 'reg_lambda': 0.12474019529221674, 'reg_alpha': 4.482989178640692, 'scale_pos_weight': 4.999781037572905}",0.9881378524242063,"[0.9884756724005028, 0.9876914995843615, 0.9882840093846972, 0.9881405773185004, 0.98809750343297]"
11,"{'learning_rate': 0.0521805475140928, 'n_estimators': 494, 'max_depth': 7, 'num_leaves': 40, 'min_child_samples': 38, 'subsample': 0.7028614234652422, 'colsample_bytree': 0.8816718567666817, 'reg_lambda': 0.9752723315310168, 'reg_alpha': 2.0013592623708303, 'scale_pos_weight': 4.9337835429662125}",0.995950261773317,"[0.9960168161267419, 0.9957730147816191, 0.9960696374100539, 0.9959742115489184, 0.995917628999252]"
12,"{'learning_rate': 0.056191535909148174, 'n_estimators': 536, 'max_depth': 5, 'num_leaves': 42, 'min_child_samples': 42, 'subsample': 0.8312310388850819, 'colsample_bytree': 0.8993565983175429, 'reg_lambda': 0.12773286126984676, 'reg_alpha': 0.33087429705116883, 'scale_pos_weight': 3.804095284223815}",0.9940729960130641,"[0.9942043891357931, 0.9939444334870033, 0.9942997653209862, 0.9939443357589088, 0.9939720563626293]"
13,"{'learning_rate': 0.037307286941859745, 'n_estimators': 375, 'max_depth': 8, 'num_leaves': 50, 'min_child_samples': 33, 'subsample': 0.9958242420570698, 'colsample_bytree': 0.8005227069801348, 'reg_lambda': 0.6634753860809779, 'reg_alpha': 1.6755865222390711, 'scale_pos_weight': 3.513113196135581}",0.9940492974834181,"[0.9942273675066304, 0.9938165635222909, 0.9941000839104845, 0.9939832619113966, 0.9941192105662874]"
14,"{'learning_rate': 0.0676210627618914, 'n_estimators': 670, 'max_depth': 8, 'num_leaves': 35, 'min_child_samples': 42, 'subsample': 0.7830360184302795, 'colsample_bytree': 0.8240090678042834, 'reg_lambda': 0.19279309818962323, 'reg_alpha': 0.3741640797555527, 'scale_pos_weight': 4.300199618130424}",0.9972538412541174,"[0.997319100058892, 0.9971332970601929, 0.9972923182308984, 0.9973104892815926, 0.9972140016390113]"
15,"{'learning_rate': 0.06913694761035655, 'n_estimators': 691, 'max_depth': 4, 'num_leaves': 34, 'min_child_samples': 45, 'subsample': 0.7274659107642258, 'colsample_bytree': 0.8264382071995038, 'reg_lambda': 1.3206320762326773, 'reg_alpha': 0.3174813643019886, 'scale_pos_weight': 4.572749883331316}",0.9937696148087409,"[0.993921350050947, 0.9934394448785389, 0.9940007129014911, 0.9936742545172855, 0.9938123116954424]"
16,"{'learning_rate': 0.09563777211331717, 'n_estimators': 685, 'max_depth': 6, 'num_leaves': 34, 'min_child_samples': 44, 'subsample': 0.8793237174136552, 'colsample_bytree': 0.7579264477173955, 'reg_lambda': 0.18089966051617176, 'reg_alpha': 0.3350345520348869, 'scale_pos_weight': 3.7634023681574256}",0.9975412990072099,"[0.9976523773983375, 0.9974079379639328, 0.9976057765533446, 0.9975361306418487, 0.9975042724785863]"
17,"{'learning_rate': 0.09002249492959197, 'n_estimators': 395, 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 50, 'subsample': 0.8933299601389079, 'colsample_bytree': 0.7558178079339377, 'reg_lambda': 0.5241344108313923, 'reg_alpha': 1.5297296208276223, 'scale_pos_weight': 3.6964245327679497}",0.9959832811260657,"[0.996108320354902, 0.9957927352285585, 0.9960054633697433, 0.9960124902302276, 0.9959973964468971]"
18,"{'learning_rate': 0.030601954770671267, 'n_estimators': 273, 'max_depth': 5, 'num_leaves': 38, 'min_child_samples': 46, 'subsample': 0.8742733896721756, 'colsample_bytree': 0.7598198189846536, 'reg_lambda': 0.1858120760411033, 'reg_alpha': 0.21034019334832949, 'scale_pos_weight': 2.926712667912374}",0.9816257152359315,"[0.9817709032678084, 0.9813140691705476, 0.9819634627960474, 0.9814829832510116, 0.9815971576942432]"
19,"{'learning_rate': 0.09799477184792134, 'n_estimators': 982, 'max_depth': 3, 'num_leaves': 32, 'min_child_samples': 35, 'subsample': 0.9231988289333641, 'colsample_bytree': 0.7232392830424836, 'reg_lambda': 2.4310559279195654, 'reg_alpha': 0.46076684255903944, 'scale_pos_weight': 3.19408294875943}",0.9937500921697122,"[0.9939311394591359, 0.9935643000067124, 0.9938726793549832, 0.9937426591316306, 0.9936396828960994]"
20,"{'learning_rate': 0.04279780645987994, 'n_estimators': 733, 'max_depth': 6, 'num_leaves': 23, 'min_child_samples': 21, 'subsample': 0.993840866967122, 'colsample_bytree': 0.7841607168490893, 'reg_lambda': 0.1781083413646513, 'reg_alpha': 2.9708549579488657, 'scale_pos_weight': 4.040549495589091}",0.9948438206645843,"[0.9949494843660054, 0.9946128499913394, 0.9950191197529373, 0.9948752148631843, 0.9947624343494552]"
21,"{'learning_rate': 0.06829515398754307, 'n_estimators': 644, 'max_depth': 8, 'num_leaves': 34, 'min_child_samples': 42, 'subsample': 0.8614862701873046, 'colsample_bytree': 0.8383951986366863, 'reg_lambda': 0.10122517092841653, 'reg_alpha': 0.39205679068997523, 'scale_pos_weight': 4.662478840362562}",0.9971373561806136,"[0.997177828234636, 0.9969771878258608, 0.9971026338932689, 0.9972557039342136, 0.9971734270150888]"
22,"{'learning_rate': 0.07341879586576106, 'n_estimators': 602, 'max_depth': 7, 'num_leaves': 36, 'min_child_samples': 41, 'subsample': 0.9138405026620688, 'colsample_bytree': 0.8325183418009163, 'reg_lambda': 0.20817541093001185, 'reg_alpha': 0.24221767181499584, 'scale_pos_weight': 4.021347022208852}",0.9971559876459318,"[0.9972863118321414, 0.9969955807343648, 0.9971669442116483, 0.9971338983435707, 0.9971972031079342]"
23,"{'learning_rate': 0.06095205749436882, 'n_estimators': 794, 'max_depth': 7, 'num_leaves': 28, 'min_child_samples': 45, 'subsample': 0.7676704643616202, 'colsample_bytree': 0.8594840218997947, 'reg_lambda': 0.48253758311392503, 'reg_alpha': 1.169109243342384, 'scale_pos_weight': 4.704291200739634}",0.996917348725297,"[0.9970814104183064, 0.99679603030958, 0.9969486803903502, 0.9968707135179778, 0.9968899089902701]"
24,"{'learning_rate': 0.07929263039920423, 'n_estimators': 697, 'max_depth': 9, 'num_leaves': 38, 'min_child_samples': 47, 'subsample': 0.7982399790297894, 'colsample_bytree': 0.788166957080257, 'reg_lambda': 0.22253139871428929, 'reg_alpha': 0.5085160331296239, 'scale_pos_weight': 3.3632446294396607}",0.9977546240668114,"[0.9978400097466844, 0.9976408874010239, 0.9977697155821853, 0.9978257464966812, 0.9976967611074821]"
25,"{'learning_rate': 0.0817128596384912, 'n_estimators': 457, 'max_depth': 9, 'num_leaves': 46, 'min_child_samples': 47, 'subsample': 0.8508376667204796, 'colsample_bytree': 0.7857268308434839, 'reg_lambda': 0.8659334703144329, 'reg_alpha': 0.5290371082695928, 'scale_pos_weight': 2.7963339358830894}",0.9973838121658624,"[0.9974165002079569, 0.9972937370022686, 0.9974096468524282, 0.9974355242896005, 0.9973636524770574]"
26,"{'learning_rate': 0.045384833412051094, 'n_estimators': 453, 'max_depth': 9, 'num_leaves': 45, 'min_child_samples': 47, 'subsample': 0.8334119920810961, 'colsample_bytree': 0.7780694888496248, 'reg_lambda': 0.9644621014650162, 'reg_alpha': 0.5060489230674482, 'scale_pos_weight': 2.7221845427230766}",0.9958578372984086,"[0.9959787837803714, 0.9956706205164351, 0.9958525037465102, 0.9959258203252349, 0.9958614581234912]"
27,"{'learning_rate': 0.07934304396430347, 'n_estimators': 244, 'max_depth': 9, 'num_leaves': 39, 'min_child_samples': 50, 'subsample': 0.8091060625683267, 'colsample_bytree': 0.7154294454292355, 'reg_lambda': 1.0170219200072277, 'reg_alpha': 0.5346146668802539, 'scale_pos_weight': 3.4404580306428083}",0.9952646874376161,"[0.9952840230894839, 0.9951867773808784, 0.995351656223216, 0.9953243283808408, 0.9951766521136612]"
28,"{'learning_rate': 0.09906417236746058, 'n_estimators': 454, 'max_depth': 10, 'num_leaves': 46, 'min_child_samples': 47, 'subsample': 0.8592558986910852, 'colsample_bytree': 0.7443545915949523, 'reg_lambda': 1.7308107963855828, 'reg_alpha': 0.24840082175007047, 'scale_pos_weight': 2.458598065242119}",0.9976968670557419,"[0.9977737675994736, 0.9975923678979398, 0.9977580660926213, 0.9977656954392907, 0.9975944382493842]"
29,"{'learning_rate': 0.09968185764970014, 'n_estimators': 307, 'max_depth': 10, 'num_leaves': 32, 'min_child_samples': 44, 'subsample': 0.8102319328406031, 'colsample_bytree': 0.7349517564927754, 'reg_lambda': 2.003820209958222, 'reg_alpha': 0.17840630421360099, 'scale_pos_weight': 2.274075653275416}",0.9962305900407691,"[0.996265726636504, 0.9960566873249386, 0.9963049477173458, 0.9963458527284307, 0.9961797357966262]"
